#{"t_start": 1617827836.796961, "env_id": "seir-v0"}
r,l,t
-0.271103,25,13.100053
-0.264597,25,15.238039
-0.475876,25,17.381039
-0.471727,25,19.528038
-0.280923,25,21.683001
-0.445533,25,23.861039
-0.528101,25,26.006038
-0.276961,25,28.176017
-0.228963,25,30.329809
-0.267333,25,32.452304
-0.398383,25,34.53207
-0.394906,25,36.611146
-0.542972,25,38.749691
-0.484767,25,40.843486
-0.414491,25,42.951317
-0.487734,25,45.059409
-0.452659,25,47.189414
-0.424925,25,49.292116
-0.44038,25,51.448371
-0.376484,25,53.599787
-0.512979,25,55.74479
-0.239337,25,57.880791
-0.38556,25,60.011779
-0.537686,25,62.134803
-0.543432,25,64.257789
-0.449185,25,66.363779
-0.220119,25,68.473784
-0.387863,25,70.616789
-0.497289,25,72.73079
-0.362443,25,74.843791
-0.387066,25,76.943789
-0.521221,25,79.07179
-0.337297,25,81.258778
-0.538987,25,83.405779
-0.516349,25,85.535779
-0.330681,25,87.660793
-0.260638,25,89.766762
-0.544161,25,91.87979
-0.237547,25,93.991791
-0.320852,25,96.107752
-0.502345,25,98.219784
-0.437722,25,100.34179
-0.413847,25,102.448778
-0.440343,25,104.570778
-0.482344,25,106.672786
-0.287466,25,108.836751
-0.339287,25,110.972784
-0.456932,25,113.156751
-0.345728,25,115.265779
-0.425651,25,117.406787
-0.174027,25,119.522749
-0.120276,25,121.636789
-0.449225,25,123.760791
-0.201891,25,125.904785
-0.197809,25,128.018779
-0.471767,25,130.166789
-0.304024,25,132.322561
-0.262195,25,134.427039
-0.469683,25,136.542993
-0.342745,25,138.643303
-0.403767,25,140.700602
-0.578334,25,142.79686
-0.567841,25,144.879833
-0.369121,25,146.965539
-0.298519,25,149.042696
-0.366734,25,151.120497
-0.498159,25,153.243891
-0.566789,25,155.353283
-0.410613,25,157.44527
-0.496031,25,159.507172
-0.480082,25,161.591807
-0.238462,25,163.689876
-0.50763,25,165.834112
-0.195895,25,167.973081
-0.353344,25,170.046455
-0.404104,25,172.157732
-0.309724,25,174.319087
-0.319211,25,176.612088
-0.497751,25,178.759077
-0.323272,25,181.059047
-0.292061,25,183.234391
-0.510171,25,187.732819
-0.177814,25,189.946285
-0.506727,25,192.216787
-0.29232,25,194.308658
-0.39848,25,196.438355
-0.42381,25,198.523923
-0.34005,25,200.627555
-0.50498,25,202.70681
-0.20342,25,204.810515
-0.46037,25,206.937066
-0.288289,25,209.042458
-0.286989,25,211.143807
-0.191338,25,213.226381
-0.522108,25,215.303648
-0.403175,25,217.411582
-0.3331,25,219.505227
-0.581126,25,221.597516
-0.183158,25,223.723424
-0.454212,25,225.846944
-0.464088,25,227.952593
-0.484587,25,230.063445
-0.384549,25,232.169499
-0.389127,25,234.323967
-0.425541,25,236.47298
-0.354751,25,238.61298
-0.143212,25,240.727978
-0.309811,25,242.990939
-0.439934,25,245.182973
-0.299339,25,247.324978
-0.403576,25,249.436967
-0.306105,25,251.640978
-0.433519,25,253.776978
-0.403877,25,255.89794
-0.231046,25,258.036991
-0.441231,25,260.13694
-0.537988,25,262.260968
-0.469371,25,264.386973
-0.535186,25,266.527978
-0.445641,25,268.676981
-0.456259,25,270.789965
-0.237752,25,272.914971
-0.18485,25,275.01298
-0.13035,25,277.114978
-0.430734,25,279.237978
-0.173032,25,281.409967
-0.370603,25,283.535978
-0.402763,25,285.647939
-0.157604,25,287.77898
-0.373114,25,289.905978
-0.181615,25,292.026028
-0.172619,25,294.184047
-0.495742,25,296.320052
-0.440085,25,298.446732
-0.234264,25,300.556869
-0.13532,25,302.659786
-0.249873,25,304.757034
-0.478585,25,306.866818
-0.331959,25,309.00663
-0.251285,25,311.177975
-0.253211,25,313.30405
-0.305582,25,315.446562
-0.246862,25,317.552813
-0.1225,25,319.68216
-0.279216,25,321.78527
-0.407773,25,323.924402
-0.4795,25,326.055942
-0.109123,25,328.219493
-0.428424,25,330.364396
-0.304517,25,332.502326
-0.550622,25,334.649921
-0.320366,25,336.813896
-0.201757,25,338.9454
-0.395599,25,341.045759
-0.379019,25,343.172179
-0.490683,25,345.309822
-0.243464,25,347.425882
-0.403634,25,349.526265
-0.18421,25,351.610897
-0.365365,25,353.738568
-0.286322,25,355.812568
-0.394753,25,357.91057
-0.447399,25,359.98657
-0.21231,25,364.133599
-0.466282,25,366.250612
-0.111501,25,368.306567
-0.276902,25,370.395567
-0.474146,25,372.476567
-0.175401,25,374.557613
-0.143194,25,376.627567
-0.219874,25,378.69057
-0.515207,25,380.785597
-0.369914,25,382.849605
-0.179325,25,384.925572
-0.28096,25,386.974567
-0.171104,25,389.045568
-0.226732,25,391.11157
-0.16833,25,393.209568
-0.115715,25,395.323571
-0.417581,25,397.38157
-0.352565,25,399.43857
-0.313166,25,401.533567
-0.487419,25,403.593568
-0.242298,25,405.687567
-0.465409,25,407.730567
-0.40329,25,409.793567
-0.377962,25,411.861609
-0.194435,25,414.01361
-0.478396,25,416.098567
-0.341497,25,418.186567
-0.349491,25,420.263803
-0.202098,25,422.471775
-0.210135,25,425.279782
-0.203341,25,427.682804
-0.136778,25,430.068804
-0.219904,25,432.564804
-0.239776,25,434.958803
-0.227654,25,437.212814
-0.265076,25,439.330817
-0.160537,25,441.45781
-0.415078,25,443.582818
-0.399949,25,445.701778
-0.129742,25,447.810814
-0.244996,25,449.934815
-0.466725,25,452.112807
-0.205166,25,454.258829
-0.321051,25,456.399815
-0.512653,25,458.531815
-0.347995,25,460.650829
-0.186853,25,462.784829
-0.117911,25,464.911814
-0.299092,25,467.084816
-0.299124,25,469.199814
-0.252227,25,471.329815
-0.378019,25,473.557817
-0.366669,25,475.985819
-0.108267,25,478.320811
-0.395602,25,480.452814
-0.309409,25,482.627812
-0.109333,25,484.764587
-0.335773,25,486.993392
-0.103831,25,489.142063
-0.190429,25,491.292713
-0.34395,25,493.419373
-0.224223,25,495.51761
-0.324773,25,497.58049
-0.430859,25,499.685877
-0.235186,25,501.742511
-0.1553,25,503.804327
-0.371589,25,505.889031
-0.225334,25,507.990425
-0.221179,25,510.105349
-0.237709,25,512.191647
-0.218019,25,514.273897
-0.384563,25,516.393784
-0.228547,25,518.486941
-0.217524,25,520.550086
-0.12716,25,522.599177
-0.302856,25,524.696758
-0.316647,25,526.782129
-0.358748,25,528.875685
-0.363705,25,530.97978
-0.406755,25,533.162271
-0.314579,25,535.295275
-0.217539,25,537.483269
-0.340163,25,541.732275
-0.131866,25,543.837275
-0.398403,25,545.985237
-0.31232,25,548.10829
-0.10462,25,550.239275
-0.24184,25,552.363274
-0.286157,25,554.476237
-0.342684,25,556.604274
-0.09715,25,558.694352
-0.315837,25,560.746351
-0.156407,25,562.802351
-0.400352,25,564.854351
-0.489069,25,566.955352
-0.324123,25,569.028352
-0.413341,25,571.076352
-0.258355,25,573.125348
-0.384475,25,575.183351
-0.291089,25,577.255351
-0.383188,25,579.325351
-0.282533,25,581.394352
-0.38153,25,583.473351
-0.267302,25,585.555378
-0.18914,25,587.653389
-0.130428,25,589.708351
-0.321486,25,591.771389
-0.319123,25,593.866349
-0.225349,25,595.957351
-0.394294,25,598.054348
-0.329379,25,600.133351
-0.182938,25,602.182351
-0.434204,25,604.261378
-0.307161,25,606.333351
-0.327178,25,608.427365
-0.350208,25,610.539348
-0.419566,25,612.634351
-0.29495,25,614.704351
-0.195048,25,616.767351
-0.342177,25,618.828349
-0.092116,25,620.889377
-0.496708,25,622.977351
-0.318727,25,625.035352
-0.319199,25,627.367351
-0.217835,25,629.480349
-0.288875,25,631.625388
-0.282014,25,633.693378
-0.374612,25,635.754351
-0.189054,25,637.793351
-0.233525,25,639.845389
-0.233342,25,641.90835
-0.129223,25,643.939353
-0.248997,25,645.961352
-0.13652,25,648.035351
-0.097896,25,650.152351
-0.256579,25,652.181351
-0.242105,25,654.299378
-0.151661,25,656.326351
-0.418576,25,658.40735
-0.169323,25,660.48538
-0.275481,25,662.523351
-0.451058,25,664.598891
-0.255991,25,666.663889
-0.284658,25,668.734887
-0.357245,25,670.840888
-0.196496,25,672.977887
-0.351091,25,675.08074
-0.13874,25,677.143237
-0.179042,25,679.247795
-0.310525,25,681.341557
-0.124016,25,683.422768
-0.203659,25,685.496894
-0.121897,25,687.559394
-0.541289,25,689.621789
-0.092937,25,691.684307
-0.188444,25,693.770366
-0.223363,25,695.801614
-0.13483,25,697.844845
-0.268878,25,699.918237
-0.197771,25,702.055712
-0.232478,25,704.22707
-0.44615,25,706.273981
-0.251871,25,708.320845
-0.14863,25,710.392473
-0.357389,25,714.606029
-0.126971,25,716.678029
-0.115618,25,718.761028
