#{"t_start": 1617815707.5782826, "env_id": "seir-v0"}
r,l,t
-0.275266,25,1.196989
-0.30876,25,2.485997
-0.555928,25,3.619961
-0.441005,25,4.892997
-0.248778,25,6.034
-0.462156,25,7.181001
-0.261701,25,8.316996
-0.273593,25,9.523996
-0.458722,25,10.703962
-0.233695,25,12.092996
-0.204475,25,13.379545
-0.613763,25,14.576804
-0.297123,25,15.783788
-0.216522,25,16.881276
-0.315322,25,18.013299
-0.284107,25,19.054337
-0.360573,25,20.238269
-0.505677,25,21.280846
-0.527001,25,22.327722
-0.25271,25,23.367258
-0.426143,25,24.414809
-0.452294,25,25.4827
-0.41552,25,26.498325
-0.23854,25,27.560825
-0.211342,25,28.58909
-0.313706,25,29.630001
-0.585999,25,30.688959
-0.463528,25,31.813702
-0.358809,25,33.134757
-0.266161,25,34.392196
-0.429592,25,35.49263
-0.296161,25,36.633111
-0.320381,25,37.697254
-0.322547,25,38.74951
-0.460833,25,39.819349
-0.386731,25,40.859298
-0.324366,25,41.937436
-0.324631,25,43.028623
-0.22149,25,44.143214
-0.533667,25,45.294897
-0.326618,25,46.400347
-0.550897,25,47.499284
-0.528124,25,48.654965
-0.459903,25,49.82544
-0.282486,25,50.907722
-0.462591,25,52.107626
-0.349798,25,53.184474
-0.524235,25,54.264763
-0.284884,25,55.320283
-0.30405,25,56.677097
-0.562744,25,57.777904
-0.502595,25,58.93038
-0.388201,25,60.068811
-0.17504,25,61.185081
-0.406803,25,62.367437
-0.479171,25,63.650475
-0.294787,25,65.000202
-0.442841,25,66.209447
-0.558101,25,67.560798
-0.521272,25,68.908334
-0.528163,25,70.075448
-0.312154,25,71.269565
-0.393555,25,72.903561
-0.352462,25,74.755563
-0.278417,25,76.612561
-0.140228,25,77.85132
-0.300688,25,79.073857
-0.525342,25,80.286247
-0.303062,25,81.445056
-0.28007,25,82.587369
-0.367078,25,83.725965
-0.296467,25,84.976226
-0.399862,25,86.158935
-0.258298,25,87.247982
-0.508966,25,88.375145
-0.472016,25,89.494241
-0.422206,25,90.623006
-0.323175,25,91.737658
-0.441887,25,92.837903
-0.488055,25,94.031152
-0.343105,25,95.207645
-0.280677,25,96.445685
-0.229416,25,97.638328
-0.545902,25,98.748827
-0.217664,25,99.858251
-0.200614,25,100.972727
-0.498869,25,102.119386
-0.524414,25,103.22511
-0.272496,25,104.326642
-0.450652,25,105.403339
-0.266823,25,106.63945
-0.485402,25,107.728277
-0.524685,25,109.032378
-0.377613,25,110.257716
-0.366599,25,111.518569
-0.287876,25,112.695755
-0.289335,25,113.744327
-0.483776,25,115.422214
-0.406272,25,117.381232
-0.443273,25,119.17084
-0.377013,25,120.460497
-0.47518,25,121.679161
-0.44667,25,122.809186
-0.44621,25,123.981667
-0.459449,25,125.145709
-0.288786,25,126.458176
