#{"t_start": 1618072482.0013192, "env_id": "seir-v0"}
r,l,t
-0.334123,25,1.436109
-0.401897,25,2.999915
-0.427488,25,4.182588
-0.438039,25,5.359487
-0.442621,25,6.534157
-0.222039,25,7.686177
-0.610872,25,9.045555
-0.243861,25,10.197036
-0.26538,25,11.355262
-0.279432,25,12.503736
-0.442631,25,13.633737
-0.264845,25,14.978736
-0.505945,25,16.11271
-0.593688,25,17.251709
-0.376829,25,18.418709
-0.391156,25,19.627737
-0.176495,25,20.988751
-0.247921,25,22.140737
-0.435652,25,23.248707
-0.364583,25,24.405709
-0.233297,25,25.535291
-0.303832,25,26.894629
-0.141981,25,28.00839
-0.564681,25,29.158759
-0.508602,25,30.290332
-0.530775,25,31.642674
-0.565823,25,32.767674
-0.418078,25,33.904365
-0.22786,25,35.040069
-0.243357,25,36.274455
-0.213931,25,37.602569
-0.354739,25,38.742728
-0.512827,25,39.925637
-0.361071,25,41.066262
-0.249471,25,42.205409
-0.255909,25,43.555997
-0.257578,25,44.719306
-0.347321,25,45.859931
-0.386891,25,47.002475
-0.444239,25,48.33061
-0.565113,25,49.524907
-0.148187,25,50.63429
-0.420457,25,51.774906
-0.538388,25,52.915532
-0.467023,25,54.247568
-0.45527,25,55.410898
-0.303293,25,56.55684
-0.331392,25,57.683825
-0.484448,25,58.798702
-0.519785,25,60.141758
-0.245304,25,61.266756
-0.277409,25,62.402124
-0.670675,25,63.521662
-0.290272,25,64.877202
-0.207795,25,65.986565
-0.40502,25,67.095912
-0.154869,25,68.220939
-0.339832,25,69.560013
-0.678603,25,70.712831
-0.53092,25,71.852838
-0.383424,25,72.993824
-0.243409,25,74.122824
-0.336069,25,75.266825
-0.371394,25,76.595836
-0.491812,25,77.738824
-0.60674,25,78.873825
-0.401738,25,80.021825
-0.296437,25,81.146825
-0.189477,25,82.466825
-0.414316,25,83.601796
-0.578009,25,84.734824
-0.639661,25,85.877073
-0.33518,25,87.007325
-0.532358,25,88.351079
-0.579175,25,89.481225
-0.363778,25,90.626952
-0.567296,25,91.75968
-0.443142,25,93.103404
-0.262549,25,94.229415
-0.231858,25,95.364496
-0.219737,25,96.500848
-0.382149,25,98.67279
-0.408598,25,100.07422
-0.365308,25,101.214846
-0.220676,25,102.34448
-0.438684,25,103.498071
-0.157165,25,104.648478
-0.36328,25,105.999123
-0.295693,25,107.118304
-0.396155,25,108.258929
-0.342615,25,109.410103
-0.332693,25,110.550735
-0.36571,25,111.904227
-0.567761,25,113.029226
-0.10997,25,114.169657
-0.56249,25,115.343911
-0.568722,25,116.672035
-0.519764,25,117.843909
-0.313991,25,118.977634
-0.281393,25,120.133742
-0.221265,25,121.274372
-0.232054,25,122.634648
-0.449504,25,123.744049
-0.520737,25,124.86428
-0.469337,25,126.004905
-0.480068,25,127.333274
-0.461828,25,128.458045
-0.259071,25,129.593798
-0.25743,25,130.806487
-0.52509,25,132.183481
-0.402312,25,133.315531
-0.325859,25,134.44048
-0.204954,25,135.627481
-0.308204,25,136.833483
-0.442177,25,138.185451
-0.338163,25,139.545452
-0.480093,25,140.685482
-0.393952,25,141.824481
-0.566935,25,142.950481
-0.12377,25,144.299482
-0.100312,25,145.460328
-0.128321,25,146.570768
-0.136844,25,147.732942
-0.171926,25,148.877565
-0.259554,25,150.237165
-0.343243,25,151.377815
-0.420599,25,152.526216
-0.506131,25,153.66684
-0.449646,25,154.818501
-0.504895,25,156.177862
-0.340566,25,157.325758
-0.302832,25,158.466356
-0.194657,25,159.608633
-0.392705,25,160.952381
-0.333299,25,162.078829
-0.191178,25,163.188202
-0.236594,25,164.313203
-0.52798,25,165.454589
-0.307229,25,166.830229
-0.314865,25,167.95523
-0.411456,25,169.095854
-0.203089,25,170.219589
-0.241769,25,171.374762
-0.411812,25,172.730522
-0.147978,25,173.849655
-0.429054,25,175.004145
-0.455275,25,176.144767
-0.237871,25,177.258126
-0.500257,25,178.586251
-0.574872,25,179.743404
-0.066879,25,180.868404
-0.442047,25,182.024655
-0.148836,25,183.368403
-0.303859,25,184.47969
-0.318221,25,185.60469
-0.314743,25,186.736917
-0.399682,25,187.877568
-0.274831,25,189.205668
-0.211222,25,190.341516
-0.460995,25,191.51735
-0.37361,25,192.676334
-0.157147,25,194.00335
-0.351146,25,195.149335
-0.129447,25,197.426022
-0.436619,25,198.594011
-0.227009,25,199.943021
-0.110081,25,201.129025
-0.15977,25,202.279029
-0.417318,25,203.407021
-0.181652,25,204.553022
-0.164057,25,205.876636
-0.368719,25,207.019318
-0.35582,25,208.144346
-0.410206,25,209.284971
-0.4198,25,210.444593
-0.110365,25,211.788371
-0.414044,25,212.89689
-0.396833,25,214.006239
-0.241108,25,215.110922
-0.179568,25,216.235922
-0.346339,25,217.548422
-0.2403,25,218.655874
-0.283324,25,219.78908
-0.538752,25,220.926858
-0.264936,25,222.036233
-0.316069,25,223.364358
-0.482863,25,224.482139
-0.435786,25,225.65751
-0.468992,25,226.783236
-0.281454,25,228.13588
-0.265475,25,229.277341
-0.329787,25,230.386435
-0.300242,25,231.517795
-0.420518,25,232.643596
-0.508041,25,234.073951
-0.287427,25,235.228444
-0.140111,25,236.353441
-0.286983,25,237.478441
-0.375756,25,238.60772
-0.63996,25,239.967561
-0.135467,25,241.114133
-0.325642,25,242.270382
-0.327977,25,243.426632
-0.424404,25,244.546911
-0.488474,25,245.875032
-0.118587,25,247.000032
-0.37143,25,248.140657
-0.349067,25,249.244875
-0.469711,25,250.620613
-0.487287,25,251.764613
-0.094368,25,252.914612
-0.437347,25,254.061613
-0.36037,25,255.208615
-0.480268,25,256.547585
-0.106455,25,257.673612
-0.336747,25,258.820624
-0.380197,25,259.974627
-0.199031,25,261.318627
-0.229093,25,262.445549
-0.492035,25,263.587521
-0.321842,25,264.738549
-0.287767,25,266.284443
-0.348502,25,267.409431
-0.148123,25,268.583548
-0.108823,25,269.719462
-0.225145,25,270.883316
-0.24195,25,272.242666
-0.429828,25,273.407213
-0.541807,25,274.558809
-0.111291,25,275.693097
-0.299236,25,276.833693
-0.27658,25,278.177486
-0.472446,25,279.302471
-0.182014,25,280.469784
-0.43016,25,281.594784
-0.366295,25,282.719798
-0.395069,25,284.056065
-0.373011,25,285.197045
-0.411969,25,286.353546
-0.180396,25,287.517019
-0.155379,25,288.6762
-0.277245,25,290.039027
-0.102375,25,291.18262
-0.536875,25,292.324252
-0.362396,25,293.464843
-0.248958,25,295.951304
-0.41441,25,297.107366
-0.250188,25,298.263614
-0.237388,25,299.451116
-0.217964,25,300.591307
-0.272928,25,301.934412
-0.22769,25,303.071824
-0.245004,25,304.228077
-0.290572,25,305.374027
-0.233645,25,306.499043
-0.070219,25,307.858376
-0.077212,25,308.983377
-0.418333,25,310.150721
-0.445196,25,311.30674
-0.092775,25,312.415768
-0.402504,25,313.761738
-0.22243,25,314.882774
-0.187883,25,315.984741
-0.08313,25,317.076741
-0.15645,25,318.397768
-0.212586,25,319.652739
-0.300084,25,320.908738
-0.208611,25,322.03274
-0.419651,25,323.12274
-0.168265,25,324.427737
-0.153183,25,325.561622
-0.48481,25,326.717847
-0.484702,25,327.885212
-0.409341,25,329.260212
-0.304642,25,330.416148
-0.207967,25,331.567676
-0.317828,25,332.723927
-0.064552,25,334.083329
-0.224626,25,335.219169
-0.239856,25,336.359768
-0.208503,25,337.540222
-0.330897,25,338.696478
-0.203032,25,340.046785
-0.400445,25,341.21866
-0.166074,25,342.376385
-0.197331,25,343.532635
-0.27493,25,344.70802
-0.298467,25,346.089106
-0.134649,25,347.260981
-0.224295,25,348.370356
-0.259013,25,349.526586
-0.273308,25,350.803117
-0.364967,25,352.166838
-0.24621,25,353.318854
-0.126203,25,354.487275
-0.447445,25,355.675929
-0.435819,25,356.821811
