#{"t_start": 1618244532.569502, "env_id": "seir-v0"}
r,l,t
-0.424667,25,3.300917
-0.3822,25,6.021399
-0.467133,25,8.653203
-0.399187,25,11.067003
-0.35672,25,13.599866
-0.594533,25,15.896738
-0.492613,25,18.322341
-0.501107,25,21.331903
-0.28028,25,23.538001
-0.314253,25,25.898412
-0.271787,25,28.924347
-0.322747,25,30.936326
-0.48412,25,33.190845
-0.526587,25,36.419047
-0.492613,25,39.450285
-0.577547,25,42.387332
-0.339733,25,44.86869
-0.3822,25,47.337458
-0.53508,25,50.217447
-0.441653,25,52.834235
-0.416173,25,55.257131
-0.577547,25,58.166806
-0.56056,25,60.831752
-0.40768,25,63.846116
-0.48412,25,66.348211
-0.390693,25,68.701607
-0.467133,25,71.228639
-0.365213,25,73.613188
-0.43316,25,76.258839
-0.501107,25,78.094373
-0.552067,25,79.491859
-0.48412,25,80.71849
-0.450147,25,81.938758
-0.314253,25,83.250024
-0.441653,25,84.50821
-0.322747,25,85.847767
-0.475627,25,87.506917
-0.441653,25,89.056761
-0.56056,25,90.419957
-0.518093,25,91.842319
-0.373707,25,93.330137
-0.48412,25,94.650813
-0.43316,25,95.797554
-0.518093,25,97.10348
-0.3822,25,98.559833
-0.501107,25,100.107157
-0.365213,25,101.621667
-0.475627,25,103.141523
-0.33124,25,104.624206
-0.297267,25,106.07642
-0.339733,25,107.518017
-0.48412,25,108.84902
-0.45864,25,110.195376
-0.543573,25,111.385284
-0.441653,25,112.727532
-0.467133,25,114.017018
-0.297267,25,115.555492
-0.492613,25,116.75593
-0.501107,25,117.997853
-0.475627,25,119.274001
-0.17836,25,120.633356
-0.501107,25,121.825014
-0.35672,25,122.979565
-0.501107,25,124.263901
-0.339733,25,125.507072
-0.501107,25,126.729742
-0.5096,25,128.026685
-0.424667,25,129.324373
-0.390693,25,130.520082
-0.56056,25,131.679858
-0.53508,25,133.165067
-0.424667,25,134.746238
-0.424667,25,135.999853
-0.322747,25,137.427694
-0.399187,25,138.681164
-0.288773,25,140.089368
-0.475627,25,141.487883
-0.441653,25,142.915798
-0.48412,25,144.394181
-0.40768,25,146.933927
-0.314253,25,149.233558
-0.365213,25,154.125557
-0.314253,25,156.521801
-0.195347,25,158.870306
-0.35672,25,161.293663
-0.212333,25,163.68118
-0.169867,25,166.116179
-0.30576,25,168.791523
-0.314253,25,171.130863
-0.48412,25,173.854258
-0.45864,25,176.230983
-0.33124,25,178.877405
-0.48412,25,181.874351
-0.348227,25,184.193324
-0.22932,25,186.871629
-0.3822,25,189.517684
-0.288773,25,192.004478
-0.416173,25,194.503551
-0.288773,25,196.938991
-0.441653,25,199.305256
-0.322747,25,201.928667
